customer_id,signup_date,tenure_months,plan_type,region,avg_sessions_per_week,avg_session_duration_minutes,feature_usage_score,days_since_last_login,monthly_fee,payment_method,failed_payments_last_3_months,discount_applied,support_tickets_count,avg_ticket_resolution_time_hours,customer_satisfaction_score,marketing_email_opens_last_30_days,churn
CUST100019,27-12-2024,22,Basic,South,5.79,19.6,97.3,108,217,UPI,1,No,0,15,5,5,0
CUST100020,24-03-2024,25,Pro,North,3.78,45.8,83.6,18,585,UPI,2,Yes,2,24.8,3,6,0
CUST100021,25-10-2024,27,Pro,Central,2.75,41.2,78.1,105,519,NetBanking,0,No,1,10,4,2,0
CUST100022,28-02-2024,28,Pro,South,4.8,31.4,15.5,43,486,Card,0,No,1,3.6,4,9,1
CUST100023,01-08-2023,16,Basic,North,3.78,75.1,73.5,107,238,UPI,0,No,2,16,,11,0
CUST100024,08-06-2025,15,Premium,West,7.5,17.2,40.2,118,837,Card,1,No,1,7.7,5,9,1
CUST100025,15-05-2024,3,PRO,East,1.77,31.4,93.7,92,437,UPI,1,No,2,7.8,4,6,0
CUST100026,14-10-2024,7,Basic,North,2.82,21.6,65.1,37,207,UPI,2,Yes,1,2.6,3,2,0
CUST100027,01-09-2023,21,Pro,West,9.23,40.1,43.4,43,515,UPI,0,Yes,1,16.7,4,1,1
CUST100028,15-09-2023,9,Premium,South,6.57,60.6,40.5,5,967,UPI,1,Yes,2,24.1,4,14,1
CUST100029,22-03-2025,18,Pro,North,7.89,56.5,59.9,2,495,UPI,1,No,1,6.5,4,8,0
CUST100030,29-11-2025,4,basic,West,3,,54.2,95,297,Card,1,No,0,2.8,3,8,0
CUST100031,31-07-2023,25,PRO,South,1.18,58.7,45.2,111,497,NetBanking,2,Yes,0,1.8,5,8,1
CUST100032,07-02-2024,14,Basic,Central,3.85,27.5,28.8,79,263,Card,0,No,2,1.6,3,12,0
CUST100033,14-10-2025,9,basic,East,16.81,24.5,81.7,32,230,Card,1,No,0,4.8,3,4,1
CUST100034,11-05-2024,26,Basic,West,14.27,37.2,49,65,206,Card,1,No,2,18.9,3,14,0
CUST100035,17-09-2025,2,Pro,Central,2.61,30.7,18.9,106,508,UPI,1,No,0,29.8,,11,0
CUST100036,06-05-2025,20,Basic,South,2.6,29.9,17.7,57,230,Card,1,Yes,3,19.4,4,13,0
CUST100037,04-08-2023,28,Premium,North,8.41,24,31.4,25,871,NetBanking,1,No,3,5.7,2,11,0
CUST100038,01-03-2024,7,basic,East,5.34,39.8,59.7,98,297,UPI,0,Yes,1,12.1,3,5,0
CUST100039,27-05-2024,8,Basic,South,4.93,53.3,23.3,27,220,Card,0,No,0,1.8,4,6,0
CUST100040,22-04-2025,35,Pro,West,5.98,37.2,29.4,42,408,NetBanking,0,No,2,16.9,4,8,0
CUST100041,06-11-2024,14,basic,East,1.46,33.5,55.2,112,283,NetBanking,0,No,5,13.2,4,14,0
CUST100042,26-08-2023,17,Pro,Central,2.75,44.3,29.6,74,507,Card,0,No,2,7.5,3,0,0
CUST100043,12-11-2024,4,basic,East,6.34,54,87.2,109,250,Card,0,No,2,16.9,5,11,0
CUST100044,15-05-2024,2,Basic,Central,1.9,36.9,63.1,87,227,UPI,2,Yes,1,14.8,4,7,1
CUST100045,03-06-2025,6,basic,South,7.77,32.6,17.7,15,211,Card,0,No,1,27.6,4,1,0
CUST100046,09-09-2023,4,Pro,North,4.49,44.5,22.6,88,456,UPI,1,Yes,2,8.2,3,13,0
CUST100047,05-02-2024,29,Basic,East,8.32,24.7,27.6,22,240,UPI,0,No,0,20.2,4,7,0
CUST100048,28-12-2024,18,PRO,North,3.25,4.2,66.7,58,466,Card,2,Yes,1,11.6,2,14,0
CUST100049,25-09-2023,26,Pro,North,1.45,44.2,19.5,102,579,NetBanking,0,No,2,14.9,4,6,1
CUST100050,03-01-2025,34,Pro,East,5.24,28.7,13.9,34,477,NetBanking,1,No,1,1.9,2,3,0
CUST100051,07-08-2023,10,Pro,East,4.3,27.1,75.6,88,530,NetBanking,0,No,1,5,,3,0
CUST100052,27-01-2024,14,Pro,North,1.79,6.5,53,40,411,Card,2,Yes,3,3.1,3,3,1
CUST100053,22-08-2023,31,Premium,West,3.92,23.8,86.4,116,923,UPI,1,No,4,1.5,3,3,0
CUST100054,22-09-2025,15,Basic,West,3.14,29.7,81.4,102,225,NetBanking,2,No,0,8.8,4,4,0
CUST100055,15-10-2023,8,Basic,East,7.14,56.6,34.6,108,278,Card,1,No,3,1.9,3,8,0
CUST100056,13-02-2024,14,Basic,North,7.91,61.3,27.3,96,240,NetBanking,2,Yes,1,2.8,3,8,0
CUST100057,26-09-2023,23,Basic,North,11.23,32.3,56.5,21,224,NetBanking,0,Yes,1,7.9,,11,0
CUST100058,07-06-2024,21,Basic,South,12.77,43.2,17.2,73,250,NetBanking,0,No,1,10.3,5,7,0
CUST100059,12-02-2025,16,PRO,North,2.8,17.8,67,0,431,Card,2,No,2,3.4,3,0,1
CUST100060,10-02-2025,18,Pro,West,5.77,36.9,11.1,45,596,UPI,3,Yes,2,1.7,4,5,0
CUST100061,28-08-2025,24,Premium,South,6.75,28.8,82.3,101,889,NetBanking,2,No,1,17.1,4,13,0
CUST100062,29-04-2024,26,Basic,West,4.5,11.3,90.2,21,259,Card,1,Yes,0,15.9,4,13,1
CUST100063,09-12-2023,25,basic,Central,3.9,52,99.7,31,232,NetBanking,0,No,2,3.3,4,11,0
CUST100064,31-08-2025,29,Premium,East,3.38,38,41,86,883,UPI,1,No,2,15.7,,10,0
CUST100065,09-02-2025,15,Premium,Central,6.7,45.4,60.6,29,826,UPI,0,No,0,3,4,10,1
CUST100066,08-11-2024,1,Pro,East,8.5,29.1,87.7,86,490,Card,3,No,0,11.8,4,1,1
CUST100067,19-05-2024,25,Pro,West,3.33,,51.6,42,533,Card,0,No,1,14.5,5,5,1
CUST100068,02-03-2024,7,Premium,West,8.49,13.6,39.6,110,997,NetBanking,2,No,4,5.1,5,13,0
CUST100069,10-02-2024,9,Pro,Central,0.88,48.7,14.4,11,535,NetBanking,1,No,1,3.7,5,11,1
CUST100070,29-05-2025,24,Basic,East,3.75,31.3,45.5,82,280,Card,1,No,4,10.5,3,1,0
CUST100071,21-12-2023,1,Premium,East,1.92,44.1,17.1,70,707,NetBanking,0,No,0,0.5,4,1,0
CUST100072,17-10-2023,8,Pro,South,3.94,28.6,42.7,26,453,Card,0,Yes,0,46.5,4,4,1
CUST100073,26-09-2025,24,Basic,North,6.15,36.4,40.9,25,280,Card,1,Yes,0,0.7,3,3,1
CUST100074,25-10-2023,11,Pro,South,5.03,35,68.2,17,499,UPI,0,No,2,31.9,,6,0
CUST100075,04-05-2025,17,Pro,West,1.14,21.2,42.9,91,582,Card,0,No,0,58.8,4,8,0
CUST100076,27-11-2025,8,Premium,Central,15.6,38.9,44.6,74,749,UPI,0,No,0,1.6,3,10,0
CUST100077,18-09-2023,35,Basic,East,6.88,58.1,35.8,65,211,NetBanking,1,No,2,9.8,2,8,1
CUST100078,11-10-2024,35,Premium,South,5.25,27.6,64.7,80,866,NetBanking,1,Yes,1,14,4,14,0
CUST100079,08-07-2025,33,Pro,Central,8.55,10.1,45,60,575,NetBanking,0,No,0,19.6,4,0,0
CUST100080,10-01-2024,5,Pro,Central,4.27,45.8,95.4,45,475,UPI,0,Yes,0,0.6,5,13,0
CUST100081,08-11-2025,28,Basic,North,3.14,14.4,90.3,28,225,Card,1,No,4,5.5,3,3,0
CUST100082,02-08-2025,7,PRO,East,2.34,20.2,31.3,31,592,Card,3,Yes,2,3,3,3,0
CUST100083,10-01-2024,9,Premium,Central,1.06,30.9,46.4,113,982,NetBanking,0,No,0,26.2,3,1,1
CUST100084,03-03-2025,8,Pro,East,4.31,44.5,67.1,14,414,Card,1,No,3,42.9,2,13,0
CUST100085,23-11-2024,12,Basic,South,4.27,42.3,11.5,59,263,UPI,0,No,0,12.5,3,13,0
CUST100086,29-11-2023,34,Pro,Central,5.3,30.2,30.5,81,546,NetBanking,0,Yes,1,11.7,4,12,0
CUST100087,23-04-2024,33,PRO,Central,11.86,15.2,35.7,27,494,UPI,0,Yes,1,7.2,3,5,0
CUST100088,07-04-2025,23,Basic,South,4.34,75.2,46.2,26,263,Card,1,No,1,2.8,3,0,0
CUST100089,04-08-2024,24,Pro,East,9.39,37.8,90,40,530,UPI,1,No,0,2.7,3,0,0
CUST100090,12-11-2024,35,Pro,East,9.01,47.3,18.7,114,448,Card,0,No,1,6.7,4,1,0
CUST100091,06-01-2025,22,basic,Central,2.96,42.3,15.9,46,291,UPI,1,Yes,2,1.9,4,10,0
CUST100092,12-10-2024,27,Pro,South,7.06,57.6,69.8,32,509,UPI,2,No,1,5.7,,9,0
CUST100093,10-09-2025,35,Basic,West,1.29,19.1,42.8,43,265,NetBanking,0,No,1,14,4,3,0
CUST100094,19-03-2024,1,PRO,East,3.93,40.5,26,49,530,Card,1,No,0,25.8,4,7,0
CUST100095,19-07-2024,35,Pro,West,3.85,30.2,73.2,9,454,NetBanking,2,No,1,9.7,4,3,0
CUST100096,09-09-2023,14,Pro,Central,3.79,18.7,31.9,23,464,NetBanking,0,No,2,9.3,5,7,0
CUST100097,12-05-2024,3,Pro,West,2.19,54.5,60.9,33,588,NetBanking,0,Yes,1,2.6,3,6,0
CUST100098,13-01-2024,1,basic,West,11.53,20.8,46.8,106,248,NetBanking,3,Yes,2,19.9,4,2,0
CUST100099,24-01-2024,5,Premium,East,3.25,42.2,42.5,90,869,UPI,0,No,1,10.6,3,4,0
CUST100100,25-02-2025,26,Pro,Central,4.73,60.3,74.9,19,443,Card,1,Yes,0,37.6,5,5,0
CUST100101,23-12-2024,14,Pro,West,2.76,60,65.2,104,434,NetBanking,0,No,0,12.6,3,9,0
CUST100102,11-09-2024,27,Pro,East,1.58,21.2,56.2,24,576,UPI,0,No,1,10.9,3,4,0
CUST100103,01-09-2025,9,Pro,West,9.15,49.6,21.5,54,452,UPI,1,Yes,1,4.1,,13,0
CUST100104,09-11-2025,15,basic,East,5.73,43.9,62.7,112,228,UPI,1,Yes,1,11.1,5,6,0
CUST100105,17-11-2024,15,Basic,Central,2.09,17.3,72.3,89,234,NetBanking,1,Yes,1,13.2,4,6,0
CUST100106,16-10-2024,26,Basic,South,2.26,7.2,83.3,42,228,Card,1,Yes,1,4.1,3,1,0
CUST100107,15-08-2023,13,PRO,East,6.05,35.1,36.9,52,463,UPI,1,No,1,0.7,3,7,0
CUST100108,01-05-2024,32,Basic,East,3.97,53.1,33.8,84,293,Card,1,Yes,2,13.9,4,1,1
CUST100109,15-04-2024,32,Basic,West,7.34,78.6,77.4,49,267,Card,0,Yes,0,8.3,2,1,0
CUST100110,20-04-2025,4,PRO,Central,7.72,25.9,52.1,54,482,UPI,1,No,0,5.9,3,11,0
CUST100111,01-01-2025,30,Basic,North,7.66,37.7,46.5,12,247,NetBanking,0,Yes,0,15.2,,4,1
CUST100112,01-11-2025,23,Pro,North,5.3,19.4,24.5,48,564,NetBanking,0,No,1,16,4,11,0
CUST100113,04-09-2024,15,basic,South,3.19,58.8,49.1,96,275,NetBanking,1,No,2,4.7,2,7,1
CUST100114,03-07-2024,29,Basic,Central,8.74,39.8,75.4,9,260,UPI,0,Yes,1,0.7,5,8,0
CUST100115,04-07-2025,13,Pro,East,4.52,41.6,50.5,91,401,Card,0,Yes,2,2.8,1,4,0
CUST100116,24-10-2023,32,Basic,North,0.66,36.9,88.5,96,223,NetBanking,3,Yes,1,30.7,,8,1
CUST100117,01-08-2025,7,Premium,South,7.24,22.5,10.4,10,918,Card,0,No,1,4.2,,8,1
CUST100118,08-11-2025,22,Pro,Central,7.07,48.7,26.2,118,571,UPI,0,No,1,2,3,9,0
CUST100119,15-11-2025,28,Basic,South,2.36,50.4,65.3,77,228,Card,1,No,3,24.8,4,8,0
CUST100120,15-08-2024,2,Basic,North,3.4,54.2,70.5,83,269,UPI,0,No,3,0.5,2,10,0
CUST100121,21-12-2023,6,Pro,West,7.46,50.9,34.8,99,470,Card,2,Yes,1,19.8,3,12,0
CUST100122,09-09-2024,28,Basic,West,5.76,20.7,94.8,104,233,UPI,4,No,3,17.9,4,7,0
CUST100123,03-03-2024,28,basic,Central,4.86,32.1,39.8,19,241,Card,0,No,2,10,4,11,1
CUST100124,22-11-2023,20,Pro,South,2.64,41.5,47,71,582,UPI,1,Yes,0,12.1,1,5,0
CUST100125,27-02-2025,30,Premium,East,5.03,25.6,97.9,78,763,Card,1,No,2,2.2,3,6,1
CUST100126,09-02-2025,11,Pro,North,1.49,17.9,53.1,96,428,NetBanking,2,No,2,10,,3,0
CUST100127,23-07-2023,28,PRO,West,6.58,30.8,65.2,82,458,UPI,2,Yes,0,9.4,5,5,0
CUST100128,01-03-2024,25,Premium,West,5.16,37.3,58.6,47,945,NetBanking,1,No,2,2.4,4,14,0
CUST100129,01-10-2023,33,Basic,South,8.2,85.1,26,75,260,UPI,0,No,1,16.3,4,11,0
CUST100130,20-12-2023,1,Premium,West,3.67,54.4,99.2,16,720,UPI,2,No,0,0.4,3,3,0
CUST100131,23-01-2024,27,PRO,South,8.37,24.3,15.3,32,508,NetBanking,1,No,2,5.3,5,13,0
CUST100132,28-12-2024,13,Pro,North,3.28,24.1,98.5,114,428,Card,0,Yes,2,12.6,3,9,0
CUST100133,05-02-2025,3,Premium,South,10.94,19,52.1,19,828,Card,1,Yes,0,19.3,5,7,0
CUST100134,12-02-2024,6,basic,West,5.56,46.3,27.1,45,283,Card,1,Yes,1,10.1,2,8,0
CUST100135,11-02-2024,8,basic,South,7.1,29.3,25,30,249,Card,1,No,2,30.3,4,0,0
CUST100136,01-09-2023,27,PRO,West,5.86,33,69,101,437,Card,0,No,1,5.5,3,0,0
CUST100137,21-09-2023,9,Pro,Central,6.56,27.8,74,50,464,Card,0,Yes,1,40.5,4,3,0
CUST100138,07-09-2023,33,basic,West,2.34,69.4,90.9,119,255,NetBanking,0,No,0,3.1,2,9,1
CUST100139,24-02-2025,24,Basic,West,3.39,54.5,31.3,119,273,UPI,1,No,0,7.9,2,7,0
CUST100140,11-10-2025,15,PRO,West,2.56,20.1,49,82,411,UPI,0,No,1,29.9,5,0,0
CUST100141,03-12-2024,32,PRO,Central,7.58,17.9,97.4,18,460,NetBanking,0,No,2,9.6,,8,1
CUST100142,08-06-2025,32,Pro,East,3.07,53.1,48.5,61,416,Card,1,No,2,12.3,5,7,0
CUST100143,08-12-2023,24,Premium,West,6.25,20.7,51.4,43,874,Card,1,Yes,1,30.2,4,7,0
CUST100144,12-08-2023,12,basic,East,8.76,54.7,36,76,228,NetBanking,1,Yes,1,34.5,4,5,1
CUST100145,07-08-2025,2,Basic,North,4.75,45.9,88.4,37,205,UPI,1,No,0,3,,14,0
CUST100146,18-09-2025,3,PRO,South,3.84,21.2,42.9,48,428,NetBanking,2,No,0,18.9,3,3,0
CUST100147,27-08-2024,17,PRO,East,6.2,44.8,67.2,64,527,Card,0,No,2,37.8,5,7,0
CUST100148,13-04-2025,2,Basic,North,10.05,41.1,26.4,10,225,UPI,0,No,1,0.5,,14,1
CUST100149,27-04-2024,2,Basic,South,6.04,11.3,65.4,26,238,NetBanking,0,Yes,3,8.4,4,12,1
CUST100150,11-05-2025,28,Premium,West,2.53,35.1,94.1,100,723,Card,0,No,1,22.2,3,10,0
CUST100151,06-11-2023,23,Premium,West,4.78,29.7,79.9,57,801,NetBanking,1,No,1,6.5,4,8,0
CUST100152,29-12-2023,32,Pro,West,6.21,40.5,16.1,102,546,NetBanking,0,No,1,8.1,4,3,0
CUST100153,18-11-2025,33,basic,Central,2.54,32.5,67.1,63,289,NetBanking,0,No,1,37.3,3,8,0
CUST100154,21-07-2023,1,Premium,Central,6.48,40.6,60.3,64,756,NetBanking,2,Yes,4,13.8,,13,0
CUST100155,11-11-2024,19,Premium,Central,10.23,25.7,40.5,14,766,NetBanking,2,No,2,11.6,4,0,1
CUST100156,10-02-2025,2,Pro,Central,4.1,33.2,85.8,81,545,UPI,0,Yes,0,18.1,3,12,0
CUST100157,30-11-2025,26,Premium,North,3.19,15.2,81.3,106,901,UPI,1,Yes,0,18.9,3,13,0
CUST100158,15-03-2024,32,Premium,North,5.7,29,68.4,88,973,NetBanking,1,No,2,18,4,11,1
CUST100159,21-03-2024,6,Premium,West,3.56,28.7,77,0,899,UPI,0,No,0,3.2,5,0,0
CUST100160,31-03-2025,32,Premium,South,1.79,13.4,27.4,18,868,Card,0,No,1,0.1,3,3,0
CUST100161,04-08-2024,4,Pro,Central,6.29,35.9,92.8,55,448,NetBanking,1,Yes,1,9.8,1,10,0
CUST100162,21-09-2024,11,Pro,South,5.04,59.3,70.1,63,532,UPI,1,No,0,0.6,2,11,1
CUST100163,01-07-2025,17,Pro,North,4.42,24.4,52.1,33,424,NetBanking,2,No,0,0,1,10,0
CUST100164,12-09-2024,24,Pro,Central,2.98,52.5,27.4,63,575,NetBanking,0,No,2,64.6,5,11,1
CUST100165,06-09-2024,5,PRO,North,2.63,39.3,71.4,9,498,Card,1,No,3,10.4,3,11,0
CUST100166,27-10-2024,34,Premium,North,3.96,5.6,18.7,75,766,UPI,1,Yes,4,14.1,5,8,1
CUST100167,05-03-2024,6,Pro,East,1.98,72,38.8,59,503,UPI,0,Yes,1,53.7,,0,0
CUST100168,19-02-2025,22,Pro,North,2.34,21.3,61.6,38,551,NetBanking,0,No,0,6.3,3,6,0
CUST100169,07-08-2023,11,Pro,West,13.19,35.3,68.1,108,534,Card,0,Yes,0,25.8,5,10,0
CUST100170,14-02-2024,16,PRO,North,5.22,40.8,11.6,65,509,Card,2,Yes,0,15.5,3,1,0
CUST100171,05-02-2024,33,Pro,Central,7.03,34.5,10.8,31,502,Card,0,No,1,4.6,4,14,1
CUST100172,26-12-2024,9,Basic,West,13.29,47.3,20,50,263,NetBanking,0,No,1,1.1,5,4,0
CUST100173,28-07-2024,6,Pro,North,3.41,53.4,79.1,25,526,Card,1,No,1,12.1,4,3,0
CUST100174,07-03-2025,16,Basic,West,3.5,21.5,61,56,297,UPI,2,No,1,46.6,3,6,0
CUST100175,01-12-2024,29,Basic,North,13.47,31.7,64.8,83,221,Card,0,No,3,9.7,1,4,0
CUST100176,08-07-2025,3,PRO,West,1.57,24.9,64.3,59,573,Card,0,No,0,37.2,1,10,0
CUST100177,08-08-2024,20,basic,South,1.31,24.8,13.3,54,237,UPI,0,Yes,1,1,4,4,0
CUST100178,30-06-2025,19,basic,East,10.08,36.7,25.5,5,285,UPI,0,No,1,32.8,5,13,0
CUST100179,15-10-2023,26,Basic,West,10.67,49.9,75.5,118,236,UPI,0,No,0,33.5,4,7,0
CUST100180,20-06-2024,3,Basic,Central,6.66,10.7,68.1,6,245,UPI,0,Yes,1,6,3,7,0
CUST100181,26-09-2023,19,PRO,East,5.58,32.7,50.1,65,486,Card,0,No,1,1.3,2,5,0
CUST100182,07-01-2025,20,Pro,East,1.2,22.3,11.8,80,510,Card,0,Yes,0,40.1,3,11,1
CUST100183,23-05-2024,32,Premium,North,0.93,44.4,47.5,25,785,UPI,1,Yes,0,25.2,5,1,0
CUST100184,03-05-2024,7,Pro,West,8.02,43,32.3,117,437,UPI,0,No,1,38.4,4,4,0
CUST100185,15-08-2023,33,basic,East,10.02,49.7,72.8,94,239,Card,1,No,3,4,2,2,0
CUST100186,12-10-2023,18,basic,Central,5.94,16.2,84.2,118,240,Card,3,Yes,2,4.5,3,6,1
CUST100187,29-10-2024,1,PRO,Central,8.54,40.2,55.3,97,455,NetBanking,1,No,1,8.3,,3,1
CUST100188,16-06-2025,11,Pro,Central,2.49,33.8,46.3,81,453,UPI,1,Yes,1,10.5,4,10,0
CUST100189,10-01-2025,28,Premium,North,11.41,10.1,34.6,104,704,Card,0,No,0,10.6,2,3,0
CUST100190,24-09-2023,25,Pro,South,9.59,12.2,18.3,106,451,Card,2,Yes,1,2.9,3,9,0
CUST100191,09-01-2025,23,Pro,West,7.47,28.1,43.5,77,499,UPI,0,No,1,0.4,1,4,0
CUST100192,17-04-2025,31,PRO,East,5.01,35,71,4,549,UPI,0,No,2,30.9,1,3,0
CUST100193,17-07-2025,30,Premium,West,1.28,53.2,69.9,86,726,UPI,1,Yes,1,16.4,5,8,0
CUST100194,17-04-2024,35,Pro,East,14.25,30.5,47.1,0,588,NetBanking,0,Yes,2,1.5,1,13,0
CUST100195,12-12-2024,7,Basic,North,9.95,40.5,96.9,83,280,NetBanking,0,No,3,11.5,5,9,1
CUST100196,02-03-2025,16,Pro,West,0.67,36.3,94.6,1,510,NetBanking,1,Yes,1,2.5,1,4,1
CUST100197,01-06-2025,26,Pro,North,7.32,21.1,88.8,106,564,NetBanking,1,No,2,0.5,4,8,0
CUST100198,03-03-2025,2,Premium,North,4.4,27.8,49.2,109,815,UPI,1,No,2,2.3,5,4,0
CUST100199,04-05-2025,1,Pro,West,10.7,35.4,77.2,100,517,NetBanking,2,Yes,2,15.5,3,5,0
CUST100200,02-04-2025,12,Basic,West,1.94,16.4,93.6,64,239,UPI,1,No,1,8.2,3,14,0
CUST100201,31-07-2023,5,Premium,East,10.85,43.6,76.4,9,845,UPI,1,Yes,0,4.1,,9,0
CUST100202,14-04-2025,32,Premium,Central,3.04,56.7,38.4,118,792,Card,0,Yes,2,16.6,3,10,0
CUST100203,02-11-2023,9,Basic,North,6.92,59,16.1,49,254,Card,1,No,0,7.8,2,3,0
CUST100204,01-02-2025,35,Premium,South,5,45.4,96.2,50,743,UPI,1,No,3,5.4,3,14,0
CUST100205,25-10-2024,19,basic,East,1.07,40.1,99.3,68,208,NetBanking,1,No,3,1,2,7,1
CUST100206,13-01-2024,16,Pro,East,14.55,7.1,72.4,40,531,NetBanking,0,Yes,2,1.5,2,8,0
CUST100207,17-11-2024,3,Premium,Central,4.42,19.8,38.4,57,706,UPI,0,Yes,1,3.8,5,13,1
CUST100208,18-09-2024,20,Pro,Central,2.64,14.3,87.9,108,542,NetBanking,2,No,2,3.8,3,11,1
CUST100209,05-11-2025,24,Basic,North,7.96,27.9,95.8,76,239,NetBanking,1,No,3,2.9,4,6,0
CUST100210,11-11-2025,33,Pro,East,10.19,46.5,55.6,67,415,NetBanking,0,Yes,1,1.3,1,7,1
CUST100211,08-02-2024,24,PRO,East,6.7,39,38,23,557,NetBanking,0,Yes,3,11.5,3,14,0
CUST100212,28-01-2024,11,Basic,South,5.22,40.6,46.6,111,227,NetBanking,1,No,0,8.1,3,7,0
CUST100213,17-05-2025,8,Pro,North,6.15,42.1,16.6,90,538,Card,0,No,1,12.1,2,5,0
CUST100214,08-04-2025,20,PRO,North,6.2,23.8,60.9,55,534,UPI,1,Yes,2,7.7,4,10,0
CUST100215,28-08-2023,35,basic,Central,4.14,31.6,44.1,99,261,Card,1,No,1,11.1,4,6,1
CUST100216,10-03-2025,25,PRO,North,6.19,38.2,89.6,106,517,NetBanking,0,No,2,23.7,5,10,1
CUST100217,03-11-2024,35,Premium,South,11.45,51.7,34.8,35,951,NetBanking,2,No,1,0.6,4,12,0
CUST100218,30-12-2023,25,Pro,North,3.96,33,10.8,1,403,UPI,0,No,1,9.8,4,11,1
CUST100219,02-02-2024,29,Pro,West,5.26,31.5,76.3,95,598,Card,1,No,2,4.2,,5,0
CUST100220,05-06-2024,18,basic,West,5.54,14.2,10.7,55,242,UPI,1,No,1,2.6,4,10,1
CUST100221,09-04-2025,18,Pro,South,4.76,22.8,59.1,80,525,Card,1,No,1,3.9,4,2,0
CUST100222,21-07-2025,2,Premium,Central,4.92,38.4,26.3,11,906,Card,0,Yes,1,24.3,3,12,0
CUST100223,25-01-2025,35,basic,East,11.5,32.5,64.9,11,248,NetBanking,2,No,2,23.6,5,5,1
CUST100224,26-10-2024,16,Pro,North,2.73,13,27.8,84,440,NetBanking,0,No,3,1.5,4,7,0
CUST100225,21-09-2023,33,Pro,Central,2.31,12.7,55.2,71,423,NetBanking,0,Yes,0,26.8,3,12,0
CUST100226,15-11-2024,4,Pro,Central,13.1,18.9,40.2,21,494,Card,0,No,0,16.4,,4,0
CUST100227,24-08-2025,33,Basic,North,2.52,30.8,26.4,73,199,UPI,1,No,0,0.4,5,5,0
CUST100228,01-08-2024,14,Premium,East,5.79,49.6,64.6,83,862,Card,0,Yes,0,17,5,5,0
CUST100229,12-06-2025,21,basic,North,4.65,38.9,17.4,61,223,Card,0,Yes,2,0.2,4,7,0
CUST100230,05-08-2024,20,PRO,East,10.12,20.6,94.7,63,503,UPI,1,Yes,2,7.3,4,5,1
CUST100231,25-02-2025,8,Pro,South,2.72,24.3,80,27,486,Card,0,No,0,3.6,5,0,0
CUST100232,24-07-2024,7,Pro,East,10.49,42.3,92.4,114,524,UPI,1,Yes,0,9.4,4,2,0
CUST100233,17-03-2025,3,Basic,Central,1.72,40.1,13.8,88,216,NetBanking,1,No,2,20.7,4,12,0
CUST100234,14-07-2025,17,PRO,South,3.63,24.7,10.2,112,565,UPI,0,Yes,0,0.6,3,0,0
CUST100235,08-02-2025,33,Basic,West,1.58,,42.2,27,286,NetBanking,0,Yes,1,4.6,4,14,1
CUST100236,03-11-2023,12,Basic,South,4.48,39.6,65.5,3,255,Card,2,No,0,7.3,1,4,0
CUST100237,09-11-2023,22,Pro,East,9.27,29.9,32,44,444,Card,0,No,0,18.7,5,8,0
